Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Lndscp,Rgn,Time,Wthr,Wndspd,Grsl,Agri,Scrb,Wdl,Brn,Grdvg_ht,Grdvg_cov,Arth,Act_dstb,Psv_dstb,sel
841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.286,1,0.929,0.036,0.929,0,0,0.036,0.111,0.082,0.341,1.857,2.357,0
842,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.222,1,1,0.111,0.778,0.111,0,0,0.233,0.267,0.639,1.111,1.333,0
853,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.364,0.909,1.091,0.121,0.758,0.076,0.045,0,0.125,0.218,1.013,1.273,2.091,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.714,1,1.071,0.071,0.786,0.071,0,0.071,0.323,0.257,0.669,1.357,1.429,0
855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.4,0.6,1.067,0.067,0.822,0.089,0.022,0,0.431,0.413,0.572,1.4,1,0
857,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.25,1,1,0,0.917,0.083,0,0,0.443,0.375,0.325,1.833,1,0
858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.467,1,1,0.067,0.9,0.033,0,0,0.323,0.347,0.3,1.267,1.333,0
870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.706,1,0.824,0.206,0.735,0,0.059,0,0.26,0.315,0.279,1.941,2.059,0
871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.533,1,0.933,0,0.967,0.033,0,0,0.252,0.167,0.68,1.333,1.8,0
872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.357,1,0.929,0.154,0.808,0.038,0,0,0.075,0.114,1.107,1.929,1.429,0
873,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.4,1,0.9,0,1,0,0,0,0.292,0.17,0.417,1.7,1.6,0
878,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.455,0.909,1.273,0,1,0,0,0,0.359,0.2,0.321,1,0.909,0
879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Akola,Dcn,0.412,0.882,0.824,0.176,0.824,0,0,0,0.264,0.209,0.357,2.294,1.882,0
880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Akola,Dcn,0.733,0.9,1.333,0.156,0.539,0.128,0.161,0.017,0.118,0.153,0.842,1.833,1.567,0
