"","form_id","X2_Team_Member_1","X3_Team_Member_2","X4_Team_Member_3","X5_Team_Member_4","X9_Date_of_survey","PointBranch","X65_Point_Count_List_","X7_Cell_ID","X8_Transect_ID","Segment_ID","New_segment","Time","X14_Species_Name","X15_Individual_Count","X16_Radial_Distance_m","Lat_segment","Long_segment","accuracy_21_Location"
"1","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"19010eee-885f-45d6-9168-42a58dcd3ada","All Birds recorded","BK1","A",1,1,"10:48:00","Variable Wheatear (Oenanthe picata)",1,"100-200",28.07407,73.47961,NA
"2","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"72ec397b-1a16-40da-99fe-e61e052f5336","All Birds recorded","BK1","A",1,1,"10:47:35","Black Drongo (Dicrurus macrocercus)",1,"100-200",28.07407,73.47961,NA
"3","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"f728d14c-5c55-4ffb-a6ee-896ff790323a","All Birds recorded","BK1","A",1,1,"08:52:00","Variable Wheatear (Oenanthe picata)",1,"20-50",28.07407,73.47961,NA
"4","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"27110046-ba80-4cf8-88cf-cf14fcc3bf42","All Birds recorded","BK1","A",2,2,"10:54:47","Variable Wheatear (Oenanthe picata)",1,"100-200",28.08774,73.4816,NA
"5","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"34be6e3c-9804-49b1-abfe-f6354a1cb5b9","All Birds recorded","BK1","A",2,2,"10:52:04","Rock Pigeon (Columba livia)",2,"50-100",28.08774,73.4816,NA
"6","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"7d80e657-ddc8-4039-b67f-bdb0cbefa53e","All Birds recorded","BK1","A",2,2,"10:50:49","House Crow (Corvus splendens)",2,"100-200",28.08774,73.4816,NA
"7","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"ed26d62d-9d37-4571-a09a-e72482f12e06","All Birds recorded","BK1","A",2,2,"10:50:24","Variable Wheatear (Oenanthe picata)",1,"100-200",28.08774,73.4816,NA
"8","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"e98ee351-c0ce-4da9-a0f9-0383730b1da8","All Birds recorded","BK1","A",2,2,"10:49:35","Red vented Bulbul (Pycnonotus cafer)",2,"20-50",28.08774,73.4816,NA
"9","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"3bb373dc-0b6c-4caa-83c3-7af351408e57","All Birds recorded","BK1","A",2,2,"09:13:00","Eurasian Collared Dove (Streptopelia decaocto)",2,"20-50",28.08774,73.4816,NA
"10","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"279ea460-ccc1-41c5-8109-f9275e2d83ae","All Birds recorded","BK1","A",3,3,"11:01:39","Eurasian Collared Dove (Streptopelia decaocto)",1,"100-200",28.10238,73.50564,NA
"11","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"7e08d7d4-5e63-4c9a-bdf1-d770b6e5cc8f","All Birds recorded","BK1","A",3,3,"11:00:56","Common Woodshrike (Tephrodornis pondicerianus)",2,"20-50",28.10238,73.50564,NA
"12","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"e10e9579-e516-4aac-9f2d-bc24138cec8b","All Birds recorded","BK1","A",3,3,"11:00:29","Common Hoopoe (Upupa epops)",1,"20-50",28.10238,73.50564,NA
"13","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"a1e48ff1-83e9-4f04-af06-ffae0c1587a4","All Birds recorded","BK1","A",3,3,"11:00:06","Variable Wheatear (Oenanthe picata)",1,"20-50",28.10238,73.50564,NA
"14","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"c2c88f3b-647a-449b-a941-2bc4208b6a7f","All Birds recorded","BK1","A",3,3,"10:59:06","Desert Wheatear (Oenanthe deserti)",1,"50-100",28.10238,73.50564,NA
"15","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"33f48ee2-91d8-4852-a158-cb390c8045a7","All Birds recorded","BK1","A",3,3,"10:58:17","Eurasian Collared Dove (Streptopelia decaocto)",2,"100-200",28.10238,73.50564,NA
"16","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"da65e95d-a216-4353-a0b7-5cbe0b50057d","All Birds recorded","BK1","A",3,3,"09:45:00","Variable Wheatear (Oenanthe picata)",2,"50-100",28.10238,73.50564,NA
"17","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"b7c02fca-2f56-4d35-8324-dcffba3ba5ea","All Birds recorded","BK1","A",4,4,"11:09:06","Greater Short toed Lark (Calandrella brachydactyla)",20,"0-20",28.11389,73.50564,NA
"18","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"1832ef22-8429-4576-95d3-b7ae453472be","All Birds recorded","BK1","A",4,4,"11:08:37","White eared Bulbul (Pycnonotus leucotis)",1,"50-100",28.11389,73.50564,NA
"19","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"ee74b265-012d-4bed-a35e-dd98ecb50a89","All Birds recorded","BK1","A",4,4,"11:08:00","Common Babbler (Argya caudata)",1,"100-200",28.11389,73.50564,NA
