"","X7_Cell_ID","Grassland","Agriculture_active","Agriculture_inactive","Scrubland"
"1","BK1",0,0.375,0.125,0.875
"2","BK101",0,0.222222222222222,0.222222222222222,0.333333333333333
"3","BK104",0.222222222222222,0,0.333333333333333,0.888888888888889
"4","BK107",0.125,0.375,0.125,0.625
"5","BK111",0.142857142857143,0,0,0.857142857142857
"6","BK113",0.125,0.125,0,0.875
"7","BK115",0.25,0.125,0.875,0
"8","BK123",0.142857142857143,0.142857142857143,0.285714285714286,0.714285714285714
"9","BK124",0,0.111111111111111,0.222222222222222,1
"10","BK127",0.8,0.3,0.1,0.1
"11","BK128",0,0.125,0,0.375
"12","BK129",0.444444444444444,0.222222222222222,0.555555555555556,0.888888888888889
"13","BK131",0,0.5,0.375,0.375
"14","BK14",0.0833333333333333,0,0.583333333333333,0.75
"15","BK142",0.625,0.125,0,1
"16","BK144",0.25,0,0.25,0.75
"17","BK147",0.25,0.25,0.25,0.5
"18","BK148",0,0.0909090909090909,0.363636363636364,0.818181818181818
"19","BK149",0.0909090909090909,0.0909090909090909,0.909090909090909,0
"20","BK152",0,0.6,0.2,0.1
"21","BK153",0,0.555555555555556,0.111111111111111,0.333333333333333
"22","BK156",0.285714285714286,0,0,1
"23","BK158",0.230769230769231,0.153846153846154,0.0769230769230769,0.769230769230769
"24","BK159",0,0,1,0.375
"25","BK16",0,0.5,0.166666666666667,0.666666666666667
"26","BK162",0,0,0,1
"27","BK165",0.25,0.125,0.25,0.75
"28","BK176",0.25,0,0.875,0.5
"29","BK185",0.1,0.2,0.1,0.4
"30","BK186",0,0.166666666666667,0,0.833333333333333
"31","BK191",0.111111111111111,0.444444444444444,0.444444444444444,0.111111111111111
"32","BK193",0,0,1,0.666666666666667
"33","BK200",0.1,0,1,0.3
"34","BK203",0,0,1,0.555555555555556
"35","BK211",0.333333333333333,0,0.166666666666667,0.888888888888889
"36","BK212",0,0.142857142857143,0,0.857142857142857
"37","BK215",0.333333333333333,0.111111111111111,0.555555555555556,0
"38","BK216",0,0,0,1
"39","BK218",0,0,0.625,0.75
"40","BK221",0,0.125,0.75,0.5
"41","BK228",0,0.25,0,0.75
"42","BK229",0.222222222222222,0.333333333333333,0.111111111111111,0.777777777777778
"43","BK23",0,0.363636363636364,0.454545454545455,0.545454545454545
"44","BK233",0,0,0.727272727272727,0.636363636363636
"45","BK236",0,0.666666666666667,0,0.444444444444444
"46","BK24",0.6,0.3,0.3,0.1
"47","BK240",0.466666666666667,0.0666666666666667,0.333333333333333,0.4
"48","BK241",0.125,0,1,0.625
"49","BK248",0,0.571428571428571,0.285714285714286,0.285714285714286
"50","BK249",0,0,0.125,0.875
"51","BK250",0,0,0,1
"52","BK252",0,0,1,0.285714285714286
"53","BK253",0,0,0,1
"54","BK256",0.272727272727273,0.454545454545455,0.181818181818182,0.363636363636364
"55","BK259",0,0,0.25,0.75
"56","BK260",0.0909090909090909,0.0909090909090909,0.727272727272727,0.909090909090909
"57","BK263",0.2,0.3,0.3,0.5
"58","BK264",0,0.166666666666667,0.333333333333333,0.666666666666667
"59","BK266",0.1,0.1,0.6,0.6
"60","BK269",0.1,0,0.6,0.6
"61","BK275",0.111111111111111,0.222222222222222,0.555555555555556,0.555555555555556
"62","BK28",0.0909090909090909,0.0909090909090909,0.545454545454545,0.818181818181818
"63","BK29",0.363636363636364,0.181818181818182,0.818181818181818,0.0909090909090909
"64","BK40",0,0.375,0.375,0.625
"65","BK43",0.444444444444444,0.111111111111111,0.333333333333333,0.888888888888889
"66","BK45",0.444444444444444,0,0,1
"67","BK47",0.166666666666667,0.166666666666667,0.166666666666667,0.833333333333333
"68","BK48",0.333333333333333,0.416666666666667,0.416666666666667,0.0833333333333333
"69","BK50",0.444444444444444,0.222222222222222,0.444444444444444,0.111111111111111
"70","BK54",0,0.111111111111111,0,0.888888888888889
"71","BK57",0.111111111111111,0.111111111111111,0.666666666666667,0.888888888888889
"72","BK59",0,0.444444444444444,0.333333333333333,0.666666666666667
"73","BK61",0.142857142857143,0.285714285714286,0.428571428571429,0.714285714285714
"74","BK62",0,0,0.666666666666667,0.888888888888889
"75","BK65",0,0,0.4,0.5
"76","BK7",0.333333333333333,0,0.444444444444444,0.666666666666667
"77","BK75",0,0.428571428571429,0,0.571428571428571
"78","BK77",0.266666666666667,0.266666666666667,0,0.533333333333333
"79","BK80",0.125,0.375,0.625,0.375
"80","BK85",0.4,0.1,0.6,0
"81","BK86",0.272727272727273,0.0909090909090909,0.0909090909090909,0.636363636363636
"82","BK88",0,0.444444444444444,0.222222222222222,0.555555555555556
"83","BK90",0.333333333333333,0.333333333333333,0.555555555555556,0
"84","BK91",0.8,0,0.2,0.7
"85","BK92",0.4,0,0,0.9
"86","BK96",0.142857142857143,0.428571428571429,0.142857142857143,0.714285714285714
"87","BK97",0,0,0,1
"88","BK98",0,0,0.666666666666667,0.5
"89","BK99",0.2,0,0.5,0.6
