"","Mean","SD","LCI","UCI"
"BK1",30.8733333333333,4.5526230693518,24,40.525
"BK101",36.1266666666667,5.38708559360858,28,47.525
"BK104",21.5733333333333,4.85419057199582,13.475,31
"BK107",28.9433333333333,4.2497439099184,21,38.525
"BK111",32.5366666666667,5.89671317853615,22,46.525
"BK113",30.5033333333333,4.80001277404469,22.475,40.525
"BK115",33.8133333333333,5.36480125733076,25,46
"BK123",29.7233333333333,4.52567431242713,22,39.525
"BK124",31.1766666666667,4.39201032990766,24,41
"BK127",36.66,5.2678490974697,27.475,49
"BK128",43.3866666666667,5.34468969307603,35,56
"BK131",30.0533333333333,4.33278960657045,22.475,39.525
"BK14",33.3233333333333,3.93833600953103,27,41.525
"BK142",37.94,8.08461108865785,25,56
"BK144",30.8666666666667,4.29617028907507,23.475,40
"BK147",37.6333333333333,4.82803500009019,29.475,49
"BK148",24.79,4.45706759035767,18,35
"BK149",28.0066666666667,4.62506862162477,20,38
"BK152",27.2666666666667,4.8951093833682,19,37.525
"BK153",26.67,4.07387056798351,20,35
"BK156",32.9066666666667,5.84338137627386,23,45
"BK158",35.95,4.95607798870239,28,47
"BK159",33.3866666666667,4.2454566179866,26,42
"BK165",34.9566666666667,5.46696881727456,26,47
"BK185",35.6266666666667,5.28080599233214,26,47
"BK186",37.07,5.47463900552381,28,49
"BK191",28.66,4.6780352048618,21,38
"BK193",29.4533333333333,4.35864829261143,22,38.525
"BK200",27.3533333333333,4.41968334746526,20,37
"BK203",29.08,4.42631232547768,21,39
"BK211",30.67,4.49686996308354,23,42
"BK212",30.4433333333333,4.32308753574277,23.475,40.525
"BK215",34.3066666666667,5.70272089804732,25,48
"BK216",23.4566666666667,5.15071728182394,14,35
"BK218",31.4433333333333,4.63592077445019,23,41.525
"BK221",34.75,5.66933014983482,26,47
"BK228",31.8866666666667,4.27724267551418,25,41
"BK229",31.85,4.02095264839924,25.475,41
"BK23",34.83,5.61958174570452,25,47.525
"BK236",31.89,4.19083647591898,25,41
"BK24",28.5966666666667,4.01760201805428,22,37
"BK240",21.25,5.12787972769177,14,32
"BK241",32.85,5.79766127452964,23.475,46
"BK248",29.8933333333333,3.99355110023517,23,38.525
"BK249",33.11,5.46603070232833,23,44
"BK250",29.8466666666667,4.96036014803525,21.475,40
"BK252",29.66,4.92733824771122,20,40
"BK253",31,4.4870680030744,24,40
"BK256",35.0766666666667,5.69903960302773,25,48
"BK259",35.4733333333333,5.65176347021882,26,47
"BK263",39.8366666666667,7.16713902671886,28,57.525
"BK264",28.2433333333333,4.89871891883051,20,39.525
"BK269",29.0533333333333,4.187553889901,23,38
"BK275",22.9433333333333,4.32308753574277,16.475,32.05
"BK28",32.2533333333333,4.42883024586755,25,43
"BK40",32.4966666666667,5.56355696557994,22.475,45
"BK45",31.62,6.12650363769928,21,44
"BK47",31.4633333333333,6.16945671915992,21,45
"BK48",28.9833333333333,4.5008050809618,21,39
"BK50",34.69,5.43682784259043,26,47.525
"BK54",29.7266666666667,4.67956014664939,21,40.525
"BK57",28.41,5.80755188206496,17.475,40.525
"BK59",38.0833333333333,4.92380629700135,29.475,48.525
"BK61",25.7633333333333,4.47744128833913,18,36
"BK7",30.7666666666667,4.52479851051493,23,40.525
"BK75",21.7133333333333,4.5797820436618,15,32.525
"BK77",27.8366666666667,4.27835677308648,21,38.525
"BK80",25.94,4.80486097230822,18,37
"BK85",29.21,4.81350177429111,21,39
"BK90",31.4233333333333,3.99884459344161,25,40
"BK91",30.2966666666667,4.49696912671683,23,39.525
"BK92",24.6366666666667,4.85143728200482,16.475,36
"BK96",35.05,4.23563873005064,28,44.525
"BK97",29.5366666666667,4.8916681148023,21,39
"BK98",28.6333333333333,4.30744345514674,21.475,37.525
"BK99",29.82,4.46849993160971,23,40.525
