"","X7_Cell_ID","name","value"
"1","BK1","Overall",16
"2","BK1","Grassland",11
"3","BK1","Woodland",1
"4","BK1","Generalist",3
"5","BK101","Overall",18
"6","BK101","Grassland",6
"7","BK101","Woodland",1
"8","BK101","Generalist",11
"9","BK104","Overall",9
"10","BK104","Grassland",6
"11","BK104","Woodland",1
"12","BK104","Generalist",4
"13","BK107","Overall",13
"14","BK107","Grassland",8
"15","BK107","Woodland",1
"16","BK107","Generalist",4
"17","BK111","Overall",9
"18","BK111","Grassland",6
"19","BK111","Woodland",2
"20","BK111","Generalist",3
"21","BK113","Overall",13
"22","BK113","Grassland",7
"23","BK113","Woodland",0
"24","BK113","Generalist",6
"25","BK115","Overall",15
"26","BK115","Grassland",7
"27","BK115","Woodland",3
"28","BK115","Generalist",7
"29","BK123","Overall",12
"30","BK123","Grassland",6
"31","BK123","Woodland",0
"32","BK123","Generalist",6
"33","BK124","Overall",14
"34","BK124","Grassland",12
"35","BK124","Woodland",0
"36","BK124","Generalist",2
"37","BK127","Overall",20
"38","BK127","Grassland",8
"39","BK127","Woodland",1
"40","BK127","Generalist",10
"41","BK128","Overall",24
"42","BK128","Grassland",7
"43","BK128","Woodland",2
"44","BK128","Generalist",10
"45","BK131","Overall",16
"46","BK131","Grassland",6
"47","BK131","Woodland",1
"48","BK131","Generalist",9
"49","BK14","Overall",19
"50","BK14","Grassland",14
"51","BK14","Woodland",0
"52","BK14","Generalist",5
"53","BK142","Overall",14
"54","BK142","Grassland",7
"55","BK142","Woodland",2
"56","BK142","Generalist",6
"57","BK144","Overall",14
"58","BK144","Grassland",10
"59","BK144","Woodland",0
"60","BK144","Generalist",4
"61","BK147","Overall",21
"62","BK147","Grassland",11
"63","BK147","Woodland",3
"64","BK147","Generalist",9
"65","BK148","Overall",15
"66","BK148","Grassland",8
"67","BK148","Woodland",2
"68","BK148","Generalist",7
"69","BK149","Overall",14
"70","BK149","Grassland",7
"71","BK149","Woodland",1
"72","BK149","Generalist",6
"73","BK152","Overall",10
"74","BK152","Grassland",4
"75","BK152","Woodland",0
"76","BK152","Generalist",6
"77","BK153","Overall",17
"78","BK153","Grassland",8
"79","BK153","Woodland",1
"80","BK153","Generalist",8
"81","BK156","Overall",9
"82","BK156","Grassland",5
"83","BK156","Woodland",1
"84","BK156","Generalist",3
"85","BK158","Overall",21
"86","BK158","Grassland",12
"87","BK158","Woodland",2
"88","BK158","Generalist",9
"89","BK159","Overall",19
"90","BK159","Grassland",8
"91","BK159","Woodland",1
"92","BK159","Generalist",12
"93","BK165","Overall",16
"94","BK165","Grassland",8
"95","BK165","Woodland",1
"96","BK165","Generalist",9
"97","BK185","Overall",17
"98","BK185","Grassland",9
"99","BK185","Woodland",2
"100","BK185","Generalist",6
"101","BK186","Overall",17
"102","BK186","Grassland",8
"103","BK186","Woodland",0
"104","BK186","Generalist",9
"105","BK191","Overall",11
"106","BK191","Grassland",7
"107","BK191","Woodland",0
"108","BK191","Generalist",4
"109","BK193","Overall",14
"110","BK193","Grassland",9
"111","BK193","Woodland",1
"112","BK193","Generalist",6
"113","BK200","Overall",11
"114","BK200","Grassland",7
"115","BK200","Woodland",0
"116","BK200","Generalist",4
"117","BK203","Overall",13
"118","BK203","Grassland",8
"119","BK203","Woodland",0
"120","BK203","Generalist",5
"121","BK211","Overall",18
"122","BK211","Grassland",12
"123","BK211","Woodland",2
"124","BK211","Generalist",3
"125","BK212","Overall",14
"126","BK212","Grassland",7
"127","BK212","Woodland",0
"128","BK212","Generalist",7
"129","BK215","Overall",14
"130","BK215","Grassland",10
"131","BK215","Woodland",0
"132","BK215","Generalist",4
"133","BK216","Overall",9
"134","BK216","Grassland",7
"135","BK216","Woodland",1
"136","BK216","Generalist",3
"137","BK218","Overall",13
"138","BK218","Grassland",10
"139","BK218","Woodland",0
"140","BK218","Generalist",2
"141","BK221","Overall",14
"142","BK221","Grassland",7
"143","BK221","Woodland",1
"144","BK221","Generalist",6
"145","BK228","Overall",17
"146","BK228","Grassland",8
"147","BK228","Woodland",2
"148","BK228","Generalist",9
"149","BK229","Overall",20
"150","BK229","Grassland",9
"151","BK229","Woodland",4
"152","BK229","Generalist",9
"153","BK23","Overall",18
"154","BK23","Grassland",7
"155","BK23","Woodland",1
"156","BK23","Generalist",9
"157","BK236","Overall",19
"158","BK236","Grassland",6
"159","BK236","Woodland",1
"160","BK236","Generalist",12
"161","BK24","Overall",15
"162","BK24","Grassland",9
"163","BK24","Woodland",0
"164","BK24","Generalist",6
"165","BK240","Overall",6
"166","BK240","Grassland",3
"167","BK240","Woodland",1
"168","BK240","Generalist",4
"169","BK241","Overall",11
"170","BK241","Grassland",9
"171","BK241","Woodland",1
"172","BK241","Generalist",3
"173","BK248","Overall",16
"174","BK248","Grassland",6
"175","BK248","Woodland",0
"176","BK248","Generalist",10
"177","BK249","Overall",12
"178","BK249","Grassland",7
"179","BK249","Woodland",1
"180","BK249","Generalist",6
"181","BK250","Overall",11
"182","BK250","Grassland",10
"183","BK250","Woodland",0
"184","BK250","Generalist",1
"185","BK252","Overall",5
"186","BK252","Grassland",4
