"","X7_Cell_ID","Diet","value"
"1","BK1","carnivore",3
"2","BK1","herbivore",1
"3","BK1","invertebrates",8
"4","BK1","omnivore",4
"5","BK101","carnivore",2
"6","BK101","herbivore",3
"7","BK101","invertebrates",4
"8","BK101","omnivore",9
"9","BK104","herbivore",2
"10","BK104","invertebrates",2
"11","BK104","omnivore",4
"12","BK107","carnivore",1
"13","BK107","herbivore",1
"14","BK107","invertebrates",5
"15","BK107","omnivore",5
"16","BK111","carnivore",2
"17","BK111","herbivore",1
"18","BK111","invertebrates",2
"19","BK111","omnivore",3
"20","BK113","carnivore",2
"21","BK113","herbivore",3
"22","BK113","invertebrates",4
"23","BK113","omnivore",4
"24","BK123","carnivore",1
"25","BK123","herbivore",2
"26","BK123","invertebrates",4
"27","BK123","omnivore",4
"28","BK124","herbivore",2
"29","BK124","invertebrates",6
"30","BK124","omnivore",5
"31","BK127","carnivore",2
"32","BK127","herbivore",3
"33","BK127","invertebrates",5
"34","BK127","omnivore",5
"35","BK128","carnivore",2
"36","BK128","herbivore",2
"37","BK128","invertebrates",7
"38","BK128","omnivore",7
"39","BK131","carnivore",2
"40","BK131","herbivore",3
"41","BK131","invertebrates",5
"42","BK131","omnivore",6
"43","BK14","carnivore",1
"44","BK14","herbivore",5
"45","BK14","invertebrates",7
"46","BK14","omnivore",6
"47","BK142","carnivore",2
"48","BK142","herbivore",2
"49","BK142","invertebrates",4
"50","BK142","omnivore",5
"51","BK144","carnivore",2
"52","BK144","herbivore",3
"53","BK144","invertebrates",5
"54","BK144","omnivore",4
"55","BK147","carnivore",1
"56","BK147","herbivore",3
"57","BK147","invertebrates",10
"58","BK147","omnivore",6
"59","BK148","carnivore",1
"60","BK148","herbivore",3
"61","BK148","invertebrates",5
"62","BK148","omnivore",5
"63","BK149","carnivore",2
"64","BK149","herbivore",3
"65","BK149","invertebrates",2
"66","BK149","omnivore",7
"67","BK152","herbivore",2
"68","BK152","invertebrates",2
"69","BK152","omnivore",6
"70","BK153","carnivore",1
"71","BK153","herbivore",2
"72","BK153","invertebrates",6
"73","BK153","omnivore",8
"74","BK156","carnivore",1
"75","BK156","herbivore",1
"76","BK156","invertebrates",3
"77","BK156","omnivore",4
"78","BK158","carnivore",1
"79","BK158","herbivore",4
"80","BK158","invertebrates",7
"81","BK158","omnivore",6
"82","BK159","carnivore",2
"83","BK159","herbivore",5
"84","BK159","invertebrates",5
"85","BK159","omnivore",6
"86","BK165","herbivore",4
"87","BK165","invertebrates",3
"88","BK165","omnivore",8
"89","BK185","carnivore",1
"90","BK185","herbivore",3
"91","BK185","invertebrates",6
"92","BK185","omnivore",7
"93","BK186","carnivore",2
"94","BK186","herbivore",4
"95","BK186","invertebrates",5
"96","BK186","omnivore",5
"97","BK191","carnivore",1
"98","BK191","herbivore",4
"99","BK191","invertebrates",2
"100","BK191","omnivore",4
"101","BK193","carnivore",1
"102","BK193","herbivore",4
