"","X7_Cell_ID","Habitat.IUCN","value"
"1","BK1","Generalist",7
"2","BK1","Grassland-Desert",7
"3","BK1","Synanthropic",1
"4","BK1","Woodland-Forest",1
"5","BK101","Generalist",8
"6","BK101","Grassland-Desert",6
"7","BK101","Synanthropic",2
"8","BK101","Woodland-Forest",2
"9","BK104","Generalist",2
"10","BK104","Grassland-Desert",5
"11","BK104","Synanthropic",1
"12","BK107","Generalist",6
"13","BK107","Grassland-Desert",5
"14","BK107","Woodland-Forest",1
"15","BK111","Generalist",2
"16","BK111","Grassland-Desert",4
"17","BK111","Synanthropic",1
"18","BK111","Woodland-Forest",1
"19","BK113","Generalist",7
"20","BK113","Grassland-Desert",4
"21","BK113","Synanthropic",2
"22","BK123","Generalist",6
"23","BK123","Grassland-Desert",4
"24","BK123","Synanthropic",1
"25","BK124","Generalist",1
"26","BK124","Grassland-Desert",12
"27","BK127","Generalist",8
"28","BK127","Grassland-Desert",6
"29","BK127","Synanthropic",1
"30","BK128","Generalist",10
"31","BK128","Grassland-Desert",5
"32","BK128","Synanthropic",1
"33","BK128","Woodland-Forest",2
"34","BK131","Generalist",7
"35","BK131","Grassland-Desert",6
"36","BK131","Synanthropic",2
"37","BK131","Woodland-Forest",1
"38","BK14","Generalist",4
"39","BK14","Grassland-Desert",14
"40","BK14","Synanthropic",1
"41","BK142","Generalist",4
"42","BK142","Grassland-Desert",7
"43","BK142","Synanthropic",1
"44","BK142","Woodland-Forest",1
"45","BK144","Generalist",3
"46","BK144","Grassland-Desert",9
"47","BK144","Synanthropic",2
"48","BK147","Generalist",5
"49","BK147","Grassland-Desert",11
"50","BK147","Synanthropic",2
"51","BK147","Woodland-Forest",2
"52","BK148","Generalist",5
"53","BK148","Grassland-Desert",6
"54","BK148","Synanthropic",2
"55","BK148","Woodland-Forest",1
"56","BK149","Generalist",5
"57","BK149","Grassland-Desert",6
"58","BK149","Synanthropic",2
"59","BK149","Woodland-Forest",1
"60","BK152","Generalist",4
"61","BK152","Grassland-Desert",4
"62","BK152","Synanthropic",1
"63","BK152","Woodland-Forest",1
"64","BK153","Generalist",10
"65","BK153","Grassland-Desert",6
"66","BK153","Woodland-Forest",1
"67","BK156","Generalist",3
"68","BK156","Grassland-Desert",3
"69","BK156","Synanthropic",1
"70","BK156","Woodland-Forest",2
"71","BK158","Generalist",6
"72","BK158","Grassland-Desert",9
"73","BK158","Synanthropic",2
"74","BK158","Woodland-Forest",1
"75","BK159","Generalist",10
"76","BK159","Grassland-Desert",6
"77","BK159","Synanthropic",2
"78","BK165","Generalist",7
"79","BK165","Grassland-Desert",6
"80","BK165","Synanthropic",2
"81","BK185","Generalist",4
"82","BK185","Grassland-Desert",8
"83","BK185","Synanthropic",2
"84","BK185","Woodland-Forest",3
"85","BK186","Generalist",7
"86","BK186","Grassland-Desert",7
"87","BK186","Synanthropic",2
"88","BK191","Generalist",4
"89","BK191","Grassland-Desert",5
"90","BK191","Synanthropic",2
"91","BK193","Generalist",2
"92","BK193","Grassland-Desert",9
"93","BK193","Synanthropic",2
"94","BK200","Generalist",2
"95","BK200","Grassland-Desert",7
"96","BK200","Synanthropic",2
"97","BK203","Generalist",3
"98","BK203","Grassland-Desert",8
"99","BK203","Synanthropic",2
"100","BK211","Generalist",2
"101","BK211","Grassland-Desert",12
"102","BK212","Generalist",5
"103","BK212","Grassland-Desert",6
"104","BK212","Synanthropic",2
"105","BK212","Woodland-Forest",1
"106","BK215","Generalist",2
"107","BK215","Grassland-Desert",9
"108","BK215","Synanthropic",1
"109","BK215","Woodland-Forest",1
"110","BK216","Generalist",2
"111","BK216","Grassland-Desert",4
"112","BK216","Synanthropic",1
"113","BK218","Generalist",4
"114","BK218","Grassland-Desert",8
"115","BK218","Synanthropic",1
"116","BK221","Generalist",6
"117","BK221","Grassland-Desert",6
"118","BK221","Synanthropic",1
"119","BK221","Woodland-Forest",1
"120","BK228","Generalist",8
"121","BK228","Grassland-Desert",5
"122","BK228","Synanthropic",1
"123","BK228","Woodland-Forest",2
"124","BK229","Generalist",8
"125","BK229","Grassland-Desert",6
"126","BK229","Synanthropic",2
"127","BK229","Woodland-Forest",3
"128","BK23","Generalist",6
"129","BK23","Grassland-Desert",6
"130","BK23","Synanthropic",1
"131","BK23","Woodland-Forest",2
"132","BK236","Generalist",13
"133","BK236","Grassland-Desert",4
"134","BK236","Synanthropic",2
"135","BK24","Generalist",7
"136","BK24","Grassland-Desert",7
"137","BK24","Synanthropic",1
"138","BK240","Generalist",2
"139","BK240","Grassland-Desert",1
"140","BK240","Synanthropic",1
"141","BK240","Woodland-Forest",1
"142","BK241","Grassland-Desert",8
"143","BK241","Synanthropic",1
"144","BK248","Generalist",8
"145","BK248","Grassland-Desert",6
"146","BK248","Synanthropic",2
"147","BK249","Generalist",6
"148","BK249","Grassland-Desert",5
"149","BK250","Generalist",2
"150","BK250","Grassland-Desert",9
"151","BK252","Generalist",2
"152","BK252","Grassland-Desert",2
"153","BK253","Generalist",5
"154","BK253","Grassland-Desert",7
"155","BK253","Synanthropic",1
"156","BK256","Generalist",3
"157","BK256","Grassland-Desert",5
"158","BK256","Synanthropic",1
"159","BK256","Woodland-Forest",1
"160","BK259","Generalist",5
"161","BK259","Grassland-Desert",7
"162","BK259","Synanthropic",2
"163","BK263","Generalist",9
"164","BK263","Grassland-Desert",9
"165","BK263","Synanthropic",1
"166","BK263","Woodland-Forest",1
"167","BK264","Generalist",2
"168","BK264","Grassland-Desert",5
"169","BK264","Synanthropic",1
"170","BK269","Generalist",4
"171","BK269","Grassland-Desert",7
"172","BK269","Synanthropic",2
"173","BK269","Woodland-Forest",1
"174","BK275","Generalist",4
"175","BK275","Grassland-Desert",6
"176","BK275","Synanthropic",2
"177","BK28","Generalist",2
"178","BK28","Grassland-Desert",15
"179","BK28","Synanthropic",1
"180","BK40","Generalist",7
"181","BK40","Grassland-Desert",5
"182","BK40","Synanthropic",1
"183","BK45","Generalist",3
"184","BK45","Grassland-Desert",5
"185","BK47","Generalist",3
"186","BK47","Grassland-Desert",6
"187","BK48","Generalist",6
"188","BK48","Grassland-Desert",6
"189","BK48","Synanthropic",1
"190","BK50","Generalist",5
"191","BK50","Grassland-Desert",10
"192","BK50","Synanthropic",2
"193","BK54","Generalist",5
"194","BK54","Grassland-Desert",4
"195","BK54","Synanthropic",2
"196","BK54","Woodland-Forest",1
"197","BK57","Generalist",1
"198","BK57","Grassland-Desert",3
"199","BK59","Generalist",10
"200","BK59","Grassland-Desert",9
"201","BK59","Synanthropic",2
"202","BK61","Generalist",3
"203","BK61","Grassland-Desert",4
"204","BK61","Synanthropic",1
"205","BK7","Generalist",5
"206","BK7","Grassland-Desert",9
"207","BK7","Synanthropic",1
"208","BK75","Generalist",5
"209","BK75","Grassland-Desert",5
"210","BK77","Generalist",8
"211","BK77","Grassland-Desert",7
"212","BK77","Synanthropic",1
"213","BK80","Generalist",3
"214","BK80","Grassland-Desert",6
"215","BK80","Synanthropic",1
"216","BK85","Generalist",3
"217","BK85","Grassland-Desert",6
"218","BK85","Synanthropic",1
"219","BK90","Generalist",5
"220","BK90","Grassland-Desert",11
"221","BK90","Synanthropic",2
"222","BK90","Woodland-Forest",1
"223","BK91","Generalist",5
"224","BK91","Grassland-Desert",6
"225","BK91","Synanthropic",2
"226","BK92","Generalist",1
"227","BK92","Grassland-Desert",4
"228","BK92","Synanthropic",1
"229","BK96","Generalist",9
"230","BK96","Grassland-Desert",9
"231","BK96","Synanthropic",1
"232","BK96","Woodland-Forest",1
"233","BK97","Generalist",4
"234","BK97","Grassland-Desert",4
"235","BK98","Generalist",3
"236","BK98","Grassland-Desert",8
"237","BK98","Synanthropic",1
"238","BK99","Generalist",4
"239","BK99","Grassland-Desert",8
"240","BK99","Synanthropic",2
"241","BK99","Woodland-Forest",1
