"","X14_Species_Name","Common_Name","Scientific_Name","Order","IUCN name","HWI","Sample size","Body mass (log)","Range Size","Island","Migration-1","Migration-2","Migration-3","Territoriality","Diet","Habitat","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange","BodyMass.Value"
"1","Variable Wheatear (Oenanthe picata)","Variable Wheatear ","Oenanthe picata","Passeriformes","Oenanthe picata",24.67317814,4,"1.334252642","267","0","Full Migrant","3","directional migratory","weak","invertebrates","3","34.89","14.06044365","38.506982110000003","252.9639617","48.117624210000002",21.59
"2","Black Drongo (Dicrurus macrocercus)","Black Drongo ","Dicrurus macrocercus","Passeriformes","Dicrurus macrocercus",27.11140206,8,"1.683947131","939","2.1299255E-2","Full Migrant","1","directional migratory","strong","invertebrates","2","23.93","20.16642139","26.451934810000001","1281.3560649999999","274.93683220000003",48.3
"3","Rock Pigeon (Columba livia)","Rock Pigeon ","Columba livia","Columbiformes","Columba livia",44.18079137,8,"2.5492485569999999","3117","2.1174206000000001E-2","Not a Migrant","1","resident","none","seeds","3","35.869999999999997","14.18175604","32.987257640000003","569.85642350000001","89.013298469999995",354.2
"4","House Crow (Corvus splendens)","House Crow ","Corvus splendens","Passeriformes","Corvus splendens",36.62683518,8,"2.4662001020000002","424","1.8867925000000001E-2","Not a Migrant","1","resident","none","scav","3","20.56","24.48183817","24.719789039999998","1290.4226980000001","311.38407419999999",292.55
"5","Red vented Bulbul (Pycnonotus cafer)","Red vented Bulbul ","Pycnonotus cafer","Passeriformes","Pycnonotus cafer",16.99361609,8,"1.631950826","428","4.6728969999999996E-3","Not a Migrant","1","resident","weak","omnivore","2","22.64","23.760375610000001","25.70170152","1269.3199360000001","323.09631050000002",42.85
"6","Eurasian Collared Dove (Streptopelia decaocto)","Eurasian Collared Dove ","Streptopelia decaocto","Columbiformes","Streptopelia decaocto",37.84538878,4,"2.1730696639999998","1813","6.6188640000000003E-3","Not a Migrant","1","resident","weak","omnivore","3","42.29","9.4965519969999992","37.074238029999997","643.12549379999996","107.41677129999999",148.96
"7","Common Woodshrike (Tephrodornis pondicerianus)","Common Woodshrike ","Tephrodornis pondicerianus","Passeriformes","Tephrodornis pondicerianus",17.31316744,4,"1.305351369","429","6.9930069999999999E-3","Not a Migrant","1","resident","weak","invertebrates","2","20.89","24.927385879999999","24.33435442","1365.512056","334.39457490000001",20.2
"8","Common Hoopoe (Upupa epops)","Common Hoopoe ","Upupa epops","Bucerotiformes","Upupa epops",21.7746589,8,"1.8256208249999999","4508","7.7639750000000002E-3","Full Migrant","3","directional migratory","weak","invertebrates","3","32.5","13.60603137","33.418846549999998","678.8891433","131.37570930000001",66.93
"9","Desert Wheatear (Oenanthe deserti)","Desert Wheatear ","Oenanthe deserti","Passeriformes","Oenanthe deserti",30.87081793,4,"1.297541668","1099","9.0991800000000001E-4","Full Migrant","2","directional migratory","weak","invertebrates","3","38.64","7.6704566889999999","40.82271042","230.1097862","45.702292059999998",19.84
"10","Greater Short toed Lark (Calandrella brachydactyla)","Greater Short toed Lark ","Calandrella brachydactyla","Passeriformes","Calandrella brachydactyla",35.0966193,4,"1.323458367","1704","8.2159620000000003E-3","Full Migrant","2","directional migratory","weak","invertebrates","3","40.07","7.5049256599999996","38.805562350000002","374.47471150000001","61.442482759999997",21.06
"11","White eared Bulbul (Pycnonotus leucotis)","White eared Bulbul ","Pycnonotus leucotis","Passeriformes","Pycnonotus leucotis",16.65026508,4,"1.4332896850000001","282","0","Not a Migrant","2","resident","weak","omnivore","2","27.14","22.38612243","33.217764369999998","571.83611229999997","182.4583011",27.12
"12","Common Babbler (Argya caudata)","Common Babbler ","Argya caudata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Great Grey Shrike (Lanius excubitor)","Great Grey Shrike ","Lanius excubitor","Passeriformes","Lanius excubitor",22.34152831,4,"1.8021577529999999","2742","5.4704599999999999E-3","Full Migrant","3","directional migratory","weak","vertebrates","3","44.4","7.7912667149999999","40.686026830000003","373.82026430000002","63.167575509999999",63.41
"14","Shikra (Accipiter badius)","Shikra ","Accipiter badius","Accipitriformes","Accipiter badius",32.93687093,8,"2.1177682949999999","2030","2.9556650000000001E-3","Full Migrant","3","directional migratory","weak","vertebrates","2","9.81","22.026104849999999","24.29864139","952.45298219999995","203.56537789999999",131.15
"15","Brown Rock Chat (Oenanthe fusca)","Brown Rock Chat ","Oenanthe fusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Green Beeeater (Merops orientalis)","Green Beeeater ","Merops orientalis","Coraciiformes","Merops orientalis",35.33244734,4,"1.1702617150000001","1195","8.3681999999999995E-4","Full Migrant","1","dispersive migratory","none","invertebrates","2","18.489999999999998","25.676540230000001","24.99123329","817.095191","207.5265249",14.8
"17","House Sparrow (Passer domesticus)","House Sparrow ","Passer domesticus","Passeriformes","Passer domesticus",25.709883,4,"1.423409728","3384","1.1820331E-2","Not a Migrant","1","dispersive migratory","none","seeds","3","36.47","10.575353010000001","36.194742740000002","530.45337889999996","87.08002999",26.51
"18","Grey Francolin (Francolinus pondicerianus)","Grey Francolin ","Francolinus pondicerianus","Galliformes","Francolinus pondicerianus",25.94474567,4,"2.397835765","302","0","Not a Migrant","1","resident","strong","omnivore","3","22.22","25.710001009999999","26.842607090000001","848.98073720000002","247.35206009999999",249.94
"19","Purple Sunbird (Cinnyris asiaticus)","Purple Sunbird ","Cinnyris asiaticus","Passeriformes","Cinnyris asiaticus",17.7876848,4,"0.908485019","568","3.5211270000000002E-3","Not a Migrant","1","resident","weak","omnivore","2","21.67","24.220270639999999","24.60771841","1256.1225280000001","301.91904160000001",NA
